"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 12 01:18:52 IST 2020","Sat Sep 12 01:20:06 IST 2020","74892","","Verifying measure functionality","","Verifying measure functionality","Measure area, linear distance and location","Measure area, linear distance and location",""
"passed","Tue Oct 20 16:54:25 IST 2020","Tue Oct 20 16:54:55 IST 2020","29322","","Verifying print functionality","","Verifying print functionality","Should display a new pdf tab for print","Should display a new pdf tab for print",""
"passed","Sat Sep 12 01:17:42 IST 2020","Sat Sep 12 01:17:56 IST 2020","13702","","Validate UGI project card selected","","Validate UGI project card selected","Login to testfieldbook","Login to testfieldbook",""
"passed","Tue Oct 20 15:44:45 IST 2020","Tue Oct 20 15:46:04 IST 2020","79413","","Verifying basemap components","","Verifying basemap components","Should verify different components of the basemap","Should verify different components of the basemap",""
"passed","Sat Sep 12 01:14:57 IST 2020","Sat Sep 12 01:15:36 IST 2020","38583","","Verifying identify functionality","","Verifying identify functionality","Identify functionality for division locations","Identify functionality for division locations",""
"passed","Sat Sep 12 01:16:29 IST 2020","Sat Sep 12 01:16:35 IST 2020","6037","","Verifying legend components","","Verifying legend components","Should verify legend layer Work Order Points","Should verify legend layer Work Order Points",""
"passed","Sat Sep 12 01:24:42 IST 2020","Sat Sep 12 01:25:15 IST 2020","32931","","Verifying Google StreetView","","Verifying Google StreetView","Should verify Google streetview","Should verify Google streetview",""
"passed","Tue Oct 20 18:33:02 IST 2020","Tue Oct 20 18:34:04 IST 2020","61967","","Verifying feature search and reverse geocode","","Verifying feature search and reverse geocode","Should feature search and reverse geocode search","Should feature search and reverse geocode search",""
"skipped","Tue Oct 06 22:10:29 IST 2020","Tue Oct 06 22:10:29 IST 2020","0","","Verifying basemap components","","Verifying basemap components","Should verify different components of the basemap","Should verify different components of the basemap",""
